Period;Iteration;CPULoad;RAMLoad
0;0;80,1273;0,4812
2;0;89,2274;0,4775
5;0;82,5958;0,4777
3;1;97,5961;0,4836
6;1;76,9053;0,4823
9;1;74,8884;0,4824
12;1;68,7281;0,4846
0;2;84,3942;0,4850
3;2;79,6821;0,4847
6;2;63,8388;0,4844
9;2;100,0000;0,4844
0;3;77,4497;0,4848
3;3;77,4405;0,4844
6;3;69,7518;0,4841
9;3;83,4643;0,4843
0;4;88,2863;0,4849
3;4;94,2924;0,4799
6;4;80,9811;0,4815
9;4;86,1070;0,4817
0;5;79,7013;0,4824
3;5;77,3344;0,4824
6;5;66,7047;0,4828
9;5;71,4567;0,4829
0;6;79,7506;0,4832
3;6;81,3752;0,4837
6;6;86,6532;0,4841
9;6;100,0000;0,4842
0;7;79,5548;0,4861
3;7;93,2322;0,4858
6;7;87,2851;0,4868
9;7;78,9267;0,4881
0;8;76,2336;0,4888
3;8;73,2405;0,4887
6;8;75,5563;0,4892
9;8;88,1308;0,4889
0;9;81,2799;0,4889
3;9;79,9288;0,4894
6;9;84,8832;0,4902
9;9;93,0077;0,4905
0;10;85,4079;0,4901
3;10;82,4992;0,4900
6;10;87,2263;0,4906
9;10;83,0633;0,4906
0;11;75,3273;0,4915
3;11;86,0746;0,4910
6;11;82,9692;0,4911
9;11;90,9942;0,4914
0;12;92,3174;0,4917
3;12;84,3986;0,4921
6;12;82,6585;0,4921
9;12;91,4225;0,4924
0;13;78,3231;0,4929
3;13;66,6625;0,4930
6;13;61,0820;0,4930
9;13;83,6789;0,4931
0;14;88,7290;0,4936
3;14;88,3668;0,4937
6;14;58,9357;0,4940
9;14;85,1011;0,4942
0;15;81,6991;0,4947
3;15;83,7799;0,4951
6;15;91,9581;0,4952
9;15;100,0000;0,4953
0;16;100,0000;0,4957
3;16;71,5998;0,4976
6;16;75,8532;0,4972
9;16;76,9359;0,4984
0;17;73,2954;0,4993
3;17;82,7918;0,4993
6;17;70,8161;0,5097
0;18;53,9657;0,5226
3;18;70,2136;0,5202
6;18;71,1907;0,5086
9;18;88,8002;0,5073
