Period;Iteration;CPULoad;RAMLoad
0;0;82,1248;0,4834
2;0;96,7075;0,4777
5;0;100,0000;0,4778
3;1;80,4877;0,4834
6;1;83,4563;0,4823
9;1;84,2114;0,4825
12;1;69,0627;0,4854
0;2;86,6994;0,4850
3;2;87,5695;0,4845
6;2;87,6924;0,4845
9;2;88,4784;0,4844
0;3;95,6502;0,4847
3;3;91,4194;0,4844
6;3;100,0000;0,4841
9;3;84,4986;0,4845
0;4;85,7153;0,4847
3;4;82,7671;0,4798
6;4;85,5478;0,4815
9;4;71,7598;0,4817
1;5;87,0536;0,4823
4;5;82,0103;0,4824
7;5;83,3640;0,4828
10;5;81,8418;0,4829
1;6;92,2708;0,4832
4;6;100,0000;0,4830
7;6;80,6517;0,4841
10;6;100,0000;0,4844
0;7;83,8249;0,4859
3;7;77,5489;0,4856
6;7;100,0000;0,4868
9;7;84,3489;0,4881
0;8;74,0871;0,4890
3;8;83,4887;0,4888
6;8;100,0000;0,4890
9;8;85,4223;0,4888
0;9;80,4058;0,4887
3;9;97,6925;0,4893
6;9;92,4316;0,4900
9;9;78,6457;0,4906
0;10;100,0000;0,4902
3;10;83,7087;0,4900
6;10;68,0102;0,4905
9;10;84,2423;0,4906
0;11;59,3847;0,4914
3;11;91,4223;0,4910
6;11;69,7540;0,4911
9;11;80,9844;0,4913
0;12;87,2215;0,4917
3;12;76,7023;0,4922
6;12;84,7962;0,4922
9;12;87,9370;0,4931
0;13;77,3175;0,4929
3;13;89,2806;0,4930
6;13;84,7771;0,4930
9;13;86,5107;0,4931
0;14;98,9544;0,4936
3;14;83,1590;0,4937
6;14;79,1693;0,4940
9;14;89,5845;0,4943
0;15;79,4197;0,4947
3;15;100,0000;0,4950
6;15;76,2126;0,4952
9;15;98,7372;0,4953
0;16;82,2195;0,4957
3;16;51,3612;0,4973
6;16;81,6287;0,4969
9;16;74,2589;0,4983
0;17;57,5975;0,4991
3;17;79,8354;0,4991
6;17;66,6119;0,5074
9;17;57,8430;0,5153
1;18;71,2261;0,5204
4;18;75,1218;0,5092
7;18;80,1435;0,5083
