Period;Iteration;CPULoad;RAMLoad
1;0;79,8877;0,4835
2;0;85,4733;0,4798
5;0;83,8853;0,4776
8;0;87,0711;0,4789
4;1;86,2858;0,4830
7;1;82,8500;0,4824
10;1;84,3296;0,4820
0;2;73,1748;0,4844
3;2;85,1081;0,4853
6;2;91,1443;0,4845
9;2;59,7891;0,4844
0;3;79,1340;0,4847
3;3;86,8511;0,4847
6;3;76,2240;0,4841
9;3;76,9424;0,4843
0;4;76,6191;0,4847
3;4;81,5131;0,4799
6;4;85,0391;0,4816
9;4;79,4356;0,4817
0;5;65,1029;0,4823
3;5;78,6509;0,4824
6;5;78,7337;0,4829
9;5;84,2642;0,4829
0;6;81,2964;0,4830
3;6;85,4683;0,4830
6;6;88,3635;0,4841
9;6;88,2673;0,4844
0;7;73,4519;0,4849
3;7;85,0221;0,4856
6;7;83,2636;0,4877
9;7;85,5193;0,4881
1;8;80,2633;0,4889
4;8;83,0642;0,4887
7;8;87,2385;0,4892
10;8;93,4097;0,4889
1;9;83,1022;0,4888
4;9;78,3753;0,4893
7;9;85,3152;0,4902
10;9;76,8285;0,4907
1;10;84,2919;0,4902
4;10;81,3014;0,4900
7;10;61,7630;0,4905
10;10;83,6391;0,4906
1;11;86,0423;0,4913
4;11;79,2548;0,4910
7;11;81,0834;0,4910
10;11;83,4674;0,4913
0;12;84,7048;0,4917
3;12;80,2286;0,4919
6;12;95,3883;0,4922
9;12;88,1942;0,4921
0;13;87,2072;0,4928
3;13;85,2749;0,4930
6;13;89,0260;0,4930
9;13;72,2190;0,4931
0;14;91,2959;0,4935
3;14;87,1281;0,4936
6;14;100,0000;0,4938
9;14;80,9850;0,4941
0;15;92,5791;0,4947
3;15;73,4157;0,4949
6;15;86,2334;0,4951
9;15;85,2820;0,4953
0;16;79,1826;0,4956
3;16;50,0318;0,4957
6;16;75,2658;0,4966
9;16;75,8532;0,4970
12;16;82,3024;0,4984
1;17;75,9044;0,4991
4;17;71,9809;0,4990
7;17;81,2367;0,5074
10;17;59,5395;0,5137
1;18;64,6146;0,5221
4;18;57,8102;0,5093
7;18;87,0713;0,5086
