Period;Iteration;CPULoad;RAMLoad
0;0;93,7541;0,4812
2;0;89,2274;0,4775
3;0;65,9671;0,4836
5;0;82,5958;0,4777
6;1;76,9053;0,4823
9;1;74,8884;0,4823
12;1;70,5717;0,4847
0;2;84,3942;0,4848
3;2;86,8160;0,4851
6;2;77,0749;0,4844
9;2;82,1622;0,4844
0;3;88,8473;0,4846
3;3;83,0512;0,4844
6;3;82,2920;0,4841
9;3;77,8917;0,4843
0;4;89,4950;0,4849
3;4;100,0000;0,4799
6;4;82,7427;0,4815
9;4;82,1770;0,4817
0;5;100,0000;0,4822
3;5;89,3595;0,4824
6;5;85,7769;0,4828
9;5;83,9107;0,4829
0;6;86,2501;0,4831
3;6;100,0000;0,4830
6;6;72,5465;0,4841
9;6;100,0000;0,4844
0;7;83,8249;0,4857
3;7;77,5489;0,4856
6;7;100,0000;0,4868
9;7;85,1750;0,4881
0;8;74,0871;0,4890
3;8;83,4887;0,4888
6;8;100,0000;0,4891
9;8;80,1198;0,4888
0;9;80,4058;0,4887
3;9;80,1901;0,4893
6;9;78,6457;0,4900
9;9;77,8683;0,4906
0;10;100,0000;0,4902
3;10;83,7087;0,4901
6;10;68,0102;0,4905
9;10;84,2423;0,4906
0;11;59,3847;0,4914
3;11;91,4223;0,4910
6;11;69,7540;0,4911
9;11;80,9844;0,4913
0;12;82,8740;0,4917
3;12;76,7023;0,4922
6;12;84,7962;0,4922
9;12;87,9370;0,4929
0;13;82,4255;0,4929
3;13;89,2806;0,4930
6;13;84,7771;0,4930
9;13;86,5107;0,4931
0;14;89,1415;0,4936
3;14;83,1590;0,4937
6;14;79,1693;0,4940
9;14;89,5845;0,4941
0;15;79,4197;0,4947
3;15;100,0000;0,4950
6;15;76,2126;0,4952
9;15;98,7372;0,4953
0;16;82,2195;0,4957
3;16;51,3612;0,4973
6;16;81,6287;0,4969
9;16;75,9311;0,4984
0;17;67,0374;0,4991
3;17;84,3034;0,4991
6;17;66,6119;0,5074
9;17;31,6195;0,5147
1;18;78,1355;0,5205
4;18;82,0164;0,5091
7;18;86,8146;0,5082
