Period;Iteration;CPULoad;RAMLoad
0;0;93,7541;0,4812
2;0;89,2274;0,4775
5;0;82,5958;0,4777
3;1;65,9671;0,4836
6;1;76,9053;0,4823
9;1;74,8884;0,4824
12;1;70,5717;0,4846
0;2;84,3942;0,4845
3;2;95,4871;0,4851
6;2;87,7227;0,4845
9;2;100,0000;0,4844
0;3;88,8473;0,4847
3;3;84,3356;0,4844
6;3;83,3224;0,4841
9;3;88,8313;0,4843
0;4;89,4950;0,4849
3;4;100,0000;0,4799
6;4;87,0047;0,4815
9;4;86,2742;0,4817
0;5;100,0000;0,4823
3;5;89,3595;0,4824
6;5;85,7769;0,4829
9;5;83,9107;0,4829
0;6;86,2501;0,4831
3;6;84,6357;0,4830
6;6;71,3095;0,4841
9;6;88,6346;0,4844
0;7;87,2279;0,4850
3;7;82,9058;0,4856
6;7;100,0000;0,4868
9;7;85,1750;0,4881
0;8;85,8959;0,4890
3;8;79,4565;0,4888
6;8;100,0000;0,4891
9;8;80,1198;0,4888
0;9;80,4058;0,4888
3;9;100,0000;0,4893
6;9;78,6457;0,4900
9;9;77,8683;0,4905
0;10;80,2661;0,4902
3;10;82,2926;0,4900
6;10;61,7630;0,4905
9;10;84,6580;0,4906
0;11;77,7581;0,4913
3;11;81,5076;0,4910
6;11;69,7540;0,4911
9;11;92,3382;0,4913
0;12;87,2215;0,4917
3;12;87,2649;0,4921
6;12;82,4345;0,4922
9;12;64,8276;0,4923
0;13;60,3104;0,4929
3;13;89,2806;0,4930
6;13;84,7771;0,4930
9;13;78,0346;0,4931
0;14;84,4058;0,4936
3;14;87,6887;0,4937
6;14;79,6883;0,4939
9;14;85,7234;0,4941
0;15;87,1822;0,4947
3;15;82,4610;0,4951
6;15;83,8232;0,4952
9;15;80,4436;0,4953
0;16;93,0110;0,4957
3;16;71,3849;0,4978
6;16;78,7552;0,4969
9;16;75,9311;0,4984
0;17;77,7409;0,4991
3;17;71,8998;0,4991
6;17;78,7859;0,5074
9;17;31,6195;0,5146
0;18;64,6146;0,5221
3;18;57,8102;0,5093
6;18;87,0713;0,5083
