OfferAgentName;AskedAgentName;OwnIPAddress;TradingPeriod;TradingCycle;TransactionID;CurrentTime;AmountEnergyOffered;AmountPriceOffered;AmountEnergyAsked;AmountPriceAsked;AmountEnergyMatched;PriceMatched;OpenEnergyOffer;OpenEnergyAsked;SOC;CommunicationTime;TradingTime;TradingFinished;CPULoad;RAMLoad
99;40000;192.168.0.51;18;9;c067a2b7-59e7-4526-8bb7-61cd327ddacf1810;1725581945747;48,088001;0,360000;48,088001;0,084308;48,088001;0,360000;0,000000;0,000000;0,000000;0,00;3378,00;true;0,5396;0,5084
99;40000;192.168.0.51;1;13;1d36ba69-93ee-489a-bfba-bfc7e8331c4b114;1725581350744;108,444000;0,360000;108,444000;0,085093;108,444000;0,360000;0,000000;0,000000;0,000000;0,00;3562,00;true;0,8659;0,4850
99;40000;192.168.0.51;16;11;2acf0d7f-6a8c-464e-9290-eeb28a3662071612;1725581875744;49,576000;0,360000;49,576000;0,100449;49,576000;0,360000;0,000000;0,000000;0,000000;0,00;3400,00;true;0,6646;0,4984
99;40000;192.168.0.51;3;11;5b4d9eb7-ad7c-4a40-989c-7032e5f5b116312;1725581420744;92,952003;0,360000;92,952003;0,116496;92,952003;0,360000;0,000000;0,000000;0,000000;0,00;3179,00;true;0,6119;0,4844
99;40000;192.168.0.51;7;12;4fda3f6c-6791-4b80-9563-7c4bbde6bb8f712;1725581560745;66,428001;0,360000;66,428001;0,111999;66,428001;0,360000;0,000000;0,000000;0,000000;0,00;2040,00;true;0,6450;0,4883
99;40000;192.168.0.51;17;10;1e567002-3843-41b4-be1d-0b9b1df79cc91711;1725581910751;48,708000;0,360000;48,708000;0,083216;48,708000;0,360000;0,000000;0,000000;0,000000;0,00;3812,00;true;0,6171;0,5187
99;40000;192.168.0.51;5;12;697427c6-ffea-45eb-b300-6a264bb094db513;1725581490744;78,575996;0,360000;78,575996;0,107310;78,575996;0,360000;0,000000;0,000000;0,000000;0,00;1709,00;true;1,0000;0,4830
99;40000;192.168.0.51;14;11;b0d73918-07d7-47f8-b68e-f3d762113bc91412;1725581805744;51,431999;0,360000;51,431999;0,094129;51,431999;0,360000;0,000000;0,000000;0,000000;0,00;2032,00;true;0,7950;0,4943
99;40000;192.168.0.51;6;11;4eefe573-ab5e-4ede-b1a5-410628f0cbb7612;1725581525745;72,132004;0,360000;72,132004;0,085583;72,132004;0,360000;0,000000;0,000000;0,000000;0,00;1708,00;true;0,4130;0,4844
99;40000;192.168.0.51;2;11;7b6977e0-75e5-448b-8af2-5c06dd1a372c212;1725581385745;100,512001;0,360000;100,512001;0,105979;100,512001;0,360000;0,000000;0,000000;0,000000;0,00;3299,00;true;0,8878;0,4847
99;40000;192.168.0.51;15;12;d0809239-4ef4-4854-b02f-27bc9b5ec17a1512;1725581840744;50,439999;0,360000;50,439999;0,097949;50,439999;0,360000;0,000000;0,000000;0,000000;0,00;2390,00;true;0,9227;0,4955
99;40000;192.168.0.51;8;12;b3a5f01a-0c9e-43e9-b767-b8d537c4a646812;1725581595745;61,844002;0,360000;61,844002;0,092858;61,844002;0,360000;0,000000;0,000000;0,000000;0,00;1786,00;true;0,8303;0,4886
99;40000;192.168.0.51;11;12;769c797e-e74c-4e8a-8dcb-64e0877826031112;1725581700744;54,779999;0,360000;54,779999;0,113685;54,779999;0,360000;0,000000;0,000000;0,000000;0,00;1754,00;true;0,8625;0,4916
99;40000;192.168.0.51;10;12;d9faa2b5-50d0-4d06-a57e-ab134786ca001012;1725581665744;56,391998;0,360000;56,391998;0,098271;56,391998;0,360000;0,000000;0,000000;0,000000;0,00;1728,00;true;0,7988;0,4908
99;40000;192.168.0.51;12;11;a2d0efeb-6f27-43df-a605-bd65404fc7ac1212;1725581735744;53,664001;0,360000;53,664001;0,112940;53,664001;0,360000;0,000000;0,000000;0,000000;0,00;1735,00;true;0,9064;0,4925
99;40000;192.168.0.51;13;11;26d61050-fed4-4420-8f71-1370664abba51312;1725581770745;52,548000;0,360000;52,548000;0,085757;52,548000;0,360000;0,000000;0,000000;0,000000;0,00;1856,00;true;0,5683;0,4932
99;40000;192.168.0.51;4;11;bfe95b83-8e34-4d1d-93a5-0c0d4022cb61412;1725581455744;85,639999;0,360000;85,639999;0,105084;85,639999;0,360000;0,000000;0,000000;0,000000;0,00;2287,00;true;0,7395;0,4817
99;40000;192.168.0.51;9;12;99ed188a-3c26-4b24-9591-e65379176313912;1725581630745;58,619999;0,360000;58,619999;0,097795;58,619999;0,360000;0,000000;0,000000;0,000000;0,00;1722,00;true;0,9415;0,4905
Deviation2Offer;0.0
AmountTrades;18.0
AverageFinancialGain;0.36
AverageFinancialEarnings;NaN
AverageFinancialCosts;0.36
PriceDeviation;0.0
PercentageExternalEnergyNeeded;0.5
AmountMessagesSended;0
