Period;Iteration;CPULoad;RAMLoad
0;0;93,7541;0,4812
2;0;89,2274;0,4775
5;0;82,5958;0,4777
3;1;65,9671;0,4836
6;1;76,9053;0,4823
9;1;74,8884;0,4824
12;1;70,5717;0,4842
0;2;84,3942;0,4849
3;2;97,6600;0,4851
6;2;77,0749;0,4844
9;2;82,1622;0,4844
0;3;82,9361;0,4849
3;3;83,0512;0,4844
6;3;69,7518;0,4841
9;3;77,8917;0,4843
0;4;68,1354;0,4848
3;4;81,7001;0,4798
6;4;82,7427;0,4816
9;4;82,1770;0,4817
0;5;100,0000;0,4822
3;5;83,9967;0,4824
6;5;84,2913;0,4828
9;5;74,4351;0,4829
0;6;99,8208;0,4833
3;6;83,2548;0,4835
6;6;78,2692;0,4841
9;6;97,6072;0,4844
0;7;81,7779;0,4860
3;7;85,0221;0,4856
6;7;83,2636;0,4870
9;7;85,5193;0,4881
0;8;80,2633;0,4889
3;8;90,4110;0,4887
6;8;87,1912;0,4892
9;8;84,4575;0,4889
0;9;86,5580;0,4887
3;9;84,3727;0,4893
6;9;81,6790;0,4902
9;9;79,4237;0,4905
0;10;84,2919;0,4902
3;10;88,4261;0,4900
6;10;87,6754;0,4905
9;10;88,8772;0,4906
0;11;82,4146;0,4912
3;11;81,8685;0,4910
6;11;86,7290;0,4911
9;11;100,0000;0,4914
0;12;82,4945;0,4917
3;12;88,4722;0,4922
6;12;87,8485;0,4921
9;12;100,0000;0,4931
0;13;77,6991;0,4929
3;13;80,4681;0,4931
6;13;81,0174;0,4930
9;13;91,4238;0,4931
0;14;75,7751;0,4936
3;14;83,7814;0,4938
6;14;86,4489;0,4939
9;14;89,4691;0,4942
0;15;85,0934;0,4947
3;15;56,3206;0,4951
6;15;82,4190;0,4952
9;15;90,7980;0,4953
0;16;87,1747;0,4957
3;16;65,6633;0,4972
6;16;90,9553;0,4972
9;16;82,3024;0,4984
0;17;90,1888;0,4992
3;17;79,1347;0,4993
6;17;75,9101;0,5074
0;18;45,2031;0,5243
3;18;90,5895;0,5148
6;18;73,2409;0,5086
9;18;90,8788;0,5082
