OfferAgentName;AskedAgentName;OwnIPAddress;TradingPeriod;TradingCycle;TransactionID;CurrentTime;AmountEnergyOffered;AmountPriceOffered;AmountEnergyAsked;AmountPriceAsked;AmountEnergyMatched;PriceMatched;OpenEnergyOffer;OpenEnergyAsked;SOC;CommunicationTime;TradingTime;TradingFinished;CPULoad;RAMLoad
99;97000;192.168.0.51;12;10;476d8b48-cb6f-427d-b577-be79ee39c0a31212;1725581735781;663,854004;0,360000;663,854004;0,087774;663,854004;0,360000;0,000000;0,000000;0,000000;0,00;4115,00;true;0,9974;0,4924
99;97000;192.168.0.51;3;11;309c302d-fa41-4b6f-9767-c28b49b6d9a9312;1725581420781;702,522034;0,360000;702,522034;0,107456;702,522034;0,360000;0,000000;0,000000;0,000000;0,00;5662,00;true;0,8331;0,4851
99;97000;192.168.0.51;7;11;ee7a5af3-d0ee-4347-a9c4-053d22d25ad2712;1725581560781;672,247986;0,360000;672,247986;0,105976;672,247986;0,360000;0,000000;0,000000;0,000000;0,00;4429,00;true;0,8899;0,4885
99;97000;192.168.0.51;15;11;c5e348f3-3fa2-43d5-9eb3-86fc1ba2a9b21512;1725581840780;671,059998;0,360000;671,059998;0,115937;671,059998;0,360000;0,000000;0,000000;0,000000;0,00;4994,00;true;0,8992;0,4955
99;97000;192.168.0.51;2;11;ce251c81-0800-452d-b2b2-f0959f4d3f2a212;1725581385781;707,822021;0,360000;707,822021;0,082351;707,822021;0,360000;0,000000;0,000000;0,000000;0,00;5798,00;true;0,9655;0,4847
99;97000;192.168.0.51;18;10;81727ea4-d6b9-4ed5-b20a-f12eb7d44cf81812;1725581945796;666,668030;0,360000;666,668030;0,104496;666,668030;0,360000;0,000000;0,000000;0,000000;0,00;7713,00;true;0,7800;0,5084
99;97000;192.168.0.51;17;9;3b704f96-5bc6-4761-a5b5-8bbc7dd12836179;1725581910813;668,108032;0,360000;668,108032;0,109538;668,108032;0,360000;0,000000;0,000000;0,000000;0,00;7383,00;true;0,6615;0,5206
99;97000;192.168.0.51;11;10;ea4be570-4ae3-44e4-bf74-73b2e66fc2371112;1725581700780;663,410034;0,360000;663,410034;0,107717;663,410034;0,360000;0,000000;0,000000;0,000000;0,00;4296,00;true;0,8372;0,4916
99;97000;192.168.0.51;9;11;171783b2-b1eb-47a1-8f3e-ec6d6ad9d660912;1725581630781;668,219971;0,360000;668,219971;0,106883;668,219971;0,360000;0,000000;0,000000;0,000000;0,00;4357,00;true;0,7918;0,4906
99;97000;192.168.0.51;16;9;c30a1ccd-59ed-486e-b11a-2c91e2d7242f1612;1725581875780;669,015991;0,360000;669,015991;0,114129;669,015991;0,360000;0,000000;0,000000;0,000000;0,00;6409,00;true;0,6473;0,4983
99;97000;192.168.0.51;5;10;3c291e8c-b269-4d51-aa7d-6a2fb38a1987512;1725581490780;687,315979;0,360000;687,315979;0,105811;687,315979;0,360000;0,000000;0,000000;0,000000;0,00;3924,00;true;0,6792;0,4831
99;97000;192.168.0.51;4;10;0ee2f293-a072-4622-91c2-b908b9a26717412;1725581455780;694,650024;0,360000;694,650024;0,110011;694,650024;0,360000;0,000000;0,000000;0,000000;0,00;4608,00;true;0,8755;0,4824
99;97000;192.168.0.51;13;10;6bf0928f-6cc1-4698-b1b8-53617b97ae4b1312;1725581770781;667,097961;0,360000;667,097961;0,095296;667,097961;0,360000;0,000000;0,000000;0,000000;0,00;4463,00;true;0,8568;0,4933
99;97000;192.168.0.51;6;10;9df166ff-180d-4ab9-a452-4ee8fbbb8b8a612;1725581525780;678,452026;0,360000;678,452026;0,104064;678,452026;0,360000;0,000000;0,000000;0,000000;0,00;3852,00;true;0,8681;0,4846
99;97000;192.168.0.51;8;11;6fdd32e6-afbd-42ca-bc82-5f5e4c9ede21812;1725581595780;669,874023;0,360000;669,874023;0,110846;669,874023;0,360000;0,000000;0,000000;0,000000;0,00;4053,00;true;0,9528;0,4888
99;97000;192.168.0.51;10;11;cda2bfee-fa3e-49da-a976-310122dde3ac1012;1725581665780;665,682007;0,360000;665,682007;0,113538;665,682007;0,360000;0,000000;0,000000;0,000000;0,00;4209,00;true;0,8630;0,4909
99;97000;192.168.0.51;14;10;0ae4e786-8622-4f8f-be63-23d75c69313e1412;1725581805780;671,721985;0,360000;671,721985;0,088821;671,721985;0,360000;0,000000;0,000000;0,000000;0,00;4792,00;true;1,0000;0,4946
99;97000;192.168.0.51;1;14;c0b6eff6-8c5b-4fd0-b4e0-cc64eae450a5115;1725581350780;715,693970;0,360000;715,693970;0,080859;715,693970;0,360000;0,000000;0,000000;0,000000;0,00;6177,00;true;0,8771;0,4848
Deviation2Offer;0.0
AmountTrades;18.0
AverageFinancialGain;0.36000000000000004
AverageFinancialEarnings;NaN
AverageFinancialCosts;0.36000000000000004
PriceDeviation;0.0
PercentageExternalEnergyNeeded;0.5
AmountMessagesSended;0
