Period;Iteration;CPULoad;RAMLoad
0;0;99,5219;0,4835
2;0;78,8316;0,4777
5;0;90,8154;0,4782
3;1;90,6381;0,4834
6;1;80,7513;0,4823
9;1;77,2167;0,4825
12;1;52,0379;0,4847
0;2;82,1740;0,4849
3;2;84,2592;0,4845
6;2;74,5125;0,4844
9;2;87,2625;0,4843
0;3;78,0222;0,4846
3;3;84,4981;0,4842
6;3;90,3320;0,4842
9;3;83,0547;0,4845
0;4;85,2798;0,4846
3;4;81,5483;0,4801
6;4;82,8887;0,4815
9;4;86,3255;0,4817
0;5;90,3487;0,4822
3;5;51,7079;0,4826
6;5;83,5261;0,4829
9;5;81,4830;0,4829
0;6;80,7691;0,4831
3;6;85,8488;0,4837
6;6;100,0000;0,4841
9;6;72,5121;0,4842
0;7;84,5489;0,4862
3;7;85,1556;0,4858
6;7;81,8773;0,4880
9;7;100,0000;0,4881
0;8;73,9591;0,4887
3;8;90,8647;0,4887
6;8;78,0962;0,4892
9;8;84,1667;0,4889
0;9;78,6637;0,4891
3;9;86,1519;0,4894
6;9;84,4766;0,4902
9;9;88,6040;0,4905
0;10;85,1154;0,4901
3;10;82,9009;0,4900
6;10;97,6607;0,4905
9;10;84,7969;0,4907
0;11;84,8312;0,4911
3;11;91,7955;0,4909
6;11;91,4975;0,4911
9;11;74,7966;0,4915
0;12;100,0000;0,4917
3;12;85,6812;0,4920
6;12;78,0797;0,4921
9;12;78,9558;0,4923
0;13;77,8684;0,4931
3;13;78,2989;0,4930
6;13;97,6644;0,4931
9;13;89,0675;0,4931
0;14;73,2410;0,4936
3;14;56,8079;0,4938
6;14;82,8203;0,4940
9;14;89,1115;0,4943
0;15;82,1523;0,4947
3;15;67,9395;0,4951
6;15;81,6575;0,4952
9;15;82,1010;0,4954
0;16;80,9349;0,4957
3;16;100,0000;0,4968
6;16;81,3716;0,4972
9;16;86,2858;0,4984
0;17;70,4754;0,4994
3;17;82,7918;0,4993
6;17;71,2408;0,5087
0;18;55,5400;0,5225
3;18;64,5646;0,5149
6;18;88,5860;0,5087
9;18;77,8761;0,5072
