Period;Iteration;CPULoad;RAMLoad
0;0;87,9146;0,4834
2;0;86,8195;0,4786
5;0;96,7075;0,4777
8;0;100,0000;0,4778
3;1;83,8479;0,4836
6;1;88,4009;0,4823
9;1;88,4558;0,4825
12;1;76,8504;0,4848
1;2;67,6181;0,4847
4;2;70,9851;0,4845
7;2;87,6924;0,4845
10;2;88,4784;0,4844
1;3;82,3083;0,4848
4;3;91,4194;0,4844
7;3;78,9160;0,4841
10;3;80,4448;0,4844
1;4;81,6102;0,4848
4;4;79,5248;0,4798
7;4;85,3581;0,4816
10;4;71,7598;0,4817
1;5;85,6394;0,4823
4;5;89,2784;0,4824
7;5;86,3862;0,4829
10;5;84,2642;0,4829
0;6;82,7965;0,4830
3;6;85,4683;0,4831
6;6;85,6114;0,4841
9;6;88,2673;0,4844
0;7;73,4519;0,4849
3;7;65,1051;0,4856
6;7;85,8913;0,4861
9;7;60,7632;0,4881
0;8;84,2067;0,4890
3;8;99,9197;0,4887
6;8;64,5637;0,4891
9;8;80,3500;0,4888
0;9;80,4539;0,4888
3;9;83,7071;0,4893
6;9;90,5122;0,4899
9;9;81,9252;0,4904
0;10;83,6752;0,4909
3;10;85,1154;0,4901
6;10;78,5244;0,4900
9;10;86,2936;0,4906
12;10;84,7969;0,4907
1;11;75,3273;0,4915
4;11;86,0746;0,4910
7;11;82,9692;0,4911
10;11;90,9942;0,4914
1;12;92,3174;0,4917
4;12;84,3986;0,4922
7;12;80,6907;0,4921
10;12;84,4102;0,4930
1;13;77,6991;0,4929
4;13;85,7980;0,4930
7;13;84,4245;0,4930
10;13;91,4238;0,4931
1;14;75,7751;0,4936
4;14;83,1590;0,4937
7;14;79,1693;0,4940
10;14;89,5845;0,4941
1;15;79,4197;0,4947
4;15;82,4610;0,4951
7;15;83,8232;0,4952
10;15;80,4436;0,4953
1;16;71,2945;0,4957
4;16;77,7332;0,4963
7;16;77,1312;0,4969
10;16;74,2589;0,4983
0;17;63,4826;0,4991
3;17;71,8998;0,4990
6;17;71,8251;0,5075
9;17;59,5395;0,5139
1;18;64,6146;0,5205
4;18;75,5405;0,5093
7;18;84,8959;0,5081
