OfferAgentName;AskedAgentName;OwnIPAddress;TradingPeriod;TradingCycle;TransactionID;CurrentTime;AmountEnergyOffered;AmountPriceOffered;AmountEnergyAsked;AmountPriceAsked;AmountEnergyMatched;PriceMatched;OpenEnergyOffer;OpenEnergyAsked;SOC;CommunicationTime;TradingTime;TradingFinished;CPULoad;RAMLoad
99;54000;192.168.0.51;5;11;d3117c2c-fe02-4910-affc-55dcf9e6fc9b512;1725581490753;78,575996;0,360000;78,575996;0,083009;78,575996;0,360000;0,000000;0,000000;0,000000;0,00;2223,00;true;0,6261;0,4831
99;54000;192.168.0.51;12;11;8adc7df8-a30d-4c75-bae1-983814d95bd61212;1725581735753;53,664001;0,360000;53,664001;0,095344;53,664001;0,360000;0,000000;0,000000;0,000000;0,00;2249,00;true;0,6167;0,4921
99;54000;192.168.0.51;14;11;eaa50aae-05a3-440d-8f39-7a8b8ef37cc51412;1725581805753;51,431999;0,360000;51,431999;0,090755;51,431999;0,360000;0,000000;0,000000;0,000000;0,00;2629,00;true;0,8042;0,4945
99;54000;192.168.0.51;9;12;d851f365-beea-4d04-a159-ead0e786db58912;1725581630754;58,619999;0,360000;58,619999;0,085600;58,619999;0,360000;0,000000;0,000000;0,000000;0,00;2406,00;true;0,8368;0,4909
99;54000;192.168.0.51;10;11;d6f1dc66-0f18-49a7-b6d8-17d67af8878b1012;1725581665753;56,391998;0,360000;56,391998;0,087219;56,391998;0,360000;0,000000;0,000000;0,000000;0,00;2305,00;true;0,7988;0,4908
99;54000;192.168.0.51;2;11;3507a702-2292-4f8b-957f-e120fb353a60212;1725581385754;100,512001;0,360000;100,512001;0,112540;100,512001;0,360000;0,000000;0,000000;0,000000;0,00;3898,00;true;0,8669;0,4847
99;54000;192.168.0.51;17;10;7fb8adf5-ef6d-47ed-afbd-df03c0f4fc491712;1725581910766;48,708000;0,360000;48,708000;0,099671;48,708000;0,360000;0,000000;0,000000;0,000000;0,00;4599,00;true;0,5399;0,5210
99;54000;192.168.0.51;4;11;af8fd922-45f7-4919-ab31-7853e5fc494f412;1725581455753;85,639999;0,360000;85,639999;0,082611;85,639999;0,360000;0,000000;0,000000;0,000000;0,00;2886,00;true;0,8247;0,4817
99;54000;192.168.0.51;11;11;a1069855-aa78-437e-a7b9-882b9c2254311112;1725581700753;54,779999;0,360000;54,779999;0,102864;54,779999;0,360000;0,000000;0,000000;0,000000;0,00;2386,00;true;0,8201;0,4915
99;54000;192.168.0.51;13;11;83194194-8ace-4925-9664-c9f5610bff151312;1725581770753;52,548000;0,360000;52,548000;0,107062;52,548000;0,360000;0,000000;0,000000;0,000000;0,00;2495,00;true;0,8343;0,4933
99;54000;192.168.0.51;18;8;32b881a2-be31-4810-aef6-bf710ee8e72a189;1725581945762;48,088001;0,360000;48,088001;0,089431;48,088001;0,360000;0,000000;0,000000;0,000000;0,00;3894,00;true;0,4960;0,5080
99;54000;192.168.0.51;1;13;086b0b39-5cae-41db-8e16-dfb1086f68b4113;1725581350753;108,444000;0,360000;108,444000;0,114732;108,444000;0,360000;0,000000;0,000000;0,000000;0,00;4203,00;true;0,8595;0,4849
99;54000;192.168.0.51;8;12;02c3b84c-c086-492a-b8ab-5d517b6066d4812;1725581595754;61,844002;0,360000;61,844002;0,109798;61,844002;0,360000;0,000000;0,000000;0,000000;0,00;2341,00;true;0,6831;0,4886
99;54000;192.168.0.51;7;12;98927a8a-f5e9-4e3b-ad0d-4911549c5e83712;1725581560754;66,428001;0,360000;66,428001;0,093067;66,428001;0,360000;0,000000;0,000000;0,000000;0,00;2556,00;true;0,9881;0,4884
99;54000;192.168.0.51;16;11;8bc6e3b0-3fbc-4631-bd73-954774647b241612;1725581875753;49,576000;0,360000;49,576000;0,116405;49,576000;0,360000;0,000000;0,000000;0,000000;0,00;4057,00;true;0,7325;0,4986
99;54000;192.168.0.51;6;11;b88a17a8-45db-4ed2-9994-3fa2c57c96a2612;1725581525754;72,132004;0,360000;72,132004;0,088519;72,132004;0,360000;0,000000;0,000000;0,000000;0,00;2251,00;true;0,8308;0,4844
99;54000;192.168.0.51;15;11;6c176597-bb40-4511-9fc5-94ff4611a2aa1512;1725581840754;50,439999;0,360000;50,439999;0,107457;50,439999;0,360000;0,000000;0,000000;0,000000;0,00;3001,00;true;0,6976;0,4956
99;54000;192.168.0.51;3;11;03155980-42ea-4f47-b504-4f2e3ef79a86312;1725581420753;92,952003;0,360000;92,952003;0,119790;92,952003;0,360000;0,000000;0,000000;0,000000;0,00;3722,00;true;0,6711;0,4845
Deviation2Offer;0.0
AmountTrades;18.0
AverageFinancialGain;0.36
AverageFinancialEarnings;NaN
AverageFinancialCosts;0.36
PriceDeviation;0.0
PercentageExternalEnergyNeeded;0.5
AmountMessagesSended;0
