OfferAgentName;AskedAgentName;Period;Iteration;AmountFlexibilityOffered;AmountPriceOffered;AmountFlexibilityAsked;AmountPriceAsked;AmountFlexibilityMatched;PriceMatched;CalculationTime
3;7;1;0;0,148089;0,096937;0,814819;0,000000;0,148089;0,096937;0,00
4;7;2;0;0,142450;0,066343;0,814086;0,000000;0,142450;0,066343;36069,00
5;7;2;0;0,143631;0,073022;0,814086;0,000000;0,143631;0,073022;36069,00
8;7;2;0;0,174582;0,074002;0,814086;0,000000;0,174582;0,074002;36069,00
7;7;2;0;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;0;0,165219;0,038999;0,814086;0,000000;0,165219;0,038999;36069,00
10;7;2;0;0,105474;0,050354;0,814086;0,000000;0,105474;0,050354;36069,00
3;7;2;1;0,151307;0,048884;0,814086;0,000000;0,140713;0,048884;36069,00
4;7;2;1;0,142450;0,066343;0,814086;0,000000;0,133577;0,066343;36069,00
5;7;2;1;0,143631;0,073022;0,814086;0,000000;0,139026;0,073022;36069,00
8;7;2;1;0,174582;0,074002;0,814086;0,000000;0,169983;0,074002;36069,00
9;7;2;1;0,175632;0,064705;0,814086;0,000000;0,175632;0,064705;36069,00
7;7;2;1;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;1;0,165219;0,038999;0,814086;0,000000;0,160613;0,038999;36069,00
6;7;2;1;0,111825;0,048247;0,814086;0,000000;0,111825;0,048247;36069,00
2;7;2;1;0,115513;0,049367;0,814086;0,000000;0,115513;0,049367;36069,00
10;7;2;1;0,105474;0,050354;0,814086;0,000000;0,105474;0,050354;36069,00
3;7;2;2;0,151307;0,048884;0,814086;0,000000;0,130862;0,048884;36069,00
5;7;2;2;0,143631;0,073022;0,814086;0,000000;0,134743;0,073022;36069,00
4;7;2;2;0,142450;0,066343;0,814086;0,000000;0,124222;0,066343;36069,00
9;7;2;2;0,175632;0,064705;0,814086;0,000000;0,163337;0,064705;36069,00
8;7;2;2;0,174582;0,074002;0,814086;0,000000;0,165705;0,074002;36069,00
7;7;2;2;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;2;0,165219;0,038999;0,814086;0,000000;0,145374;0,038999;36069,00
6;7;2;2;0,111825;0,048247;0,814086;0,000000;0,103988;0,048247;36069,00
2;7;2;2;0,115513;0,049367;0,814086;0,000000;0,099888;0,049367;36069,00
10;7;2;2;0,105474;0,050354;0,814086;0,000000;0,098083;0,050354;36069,00
3;7;2;3;0,151307;0,048884;0,814086;0,000000;0,121700;0,048884;36069,00
5;7;2;3;0,143631;0,073022;0,814086;0,000000;0,125303;0,073022;36069,00
4;7;2;3;0,142450;0,066343;0,814086;0,000000;0,115523;0,066343;36069,00
9;7;2;3;0,175632;0,064705;0,814086;0,000000;0,151902;0,064705;36069,00
8;7;2;3;0,174582;0,074002;0,814086;0,000000;0,154101;0,074002;36069,00
7;7;2;3;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;3;0,165219;0,038999;0,814086;0,000000;0,135186;0,038999;36069,00
6;7;2;3;0,111825;0,048247;0,814086;0,000000;0,096701;0,048247;36069,00
10;7;2;3;0,105474;0,050354;0,814086;0,000000;0,091210;0,050354;36069,00
2;7;2;3;0,115513;0,049367;0,814086;0,000000;0,092887;0,049367;36069,00
5;7;2;4;0,143631;0,073022;0,814086;0,000000;0,116524;0,073022;36069,00
4;7;2;4;0,142450;0,066343;0,814086;0,000000;0,107433;0,066343;36069,00
9;7;2;4;0,175632;0,064705;0,814086;0,000000;0,141269;0,064705;36069,00
8;7;2;4;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;4;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;4;0,165219;0,038999;0,814086;0,000000;0,125712;0,038999;36069,00
6;7;2;4;0,111825;0,048247;0,814086;0,000000;0,089924;0,048247;36069,00
10;7;2;4;0,105474;0,050354;0,814086;0,000000;0,084819;0,050354;36069,00
3;7;2;5;0,151307;0,048884;0,814086;0,000000;0,113179;0,048884;36069,00
5;7;2;5;0,143631;0,073022;0,814086;0,000000;0,108360;0,073022;36069,00
9;7;2;5;0,175632;0,064705;0,814086;0,000000;0,131379;0,064705;36069,00
8;7;2;5;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;5;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
6;7;2;5;0,111825;0,048247;0,814086;0,000000;0,083622;0,048247;36069,00
2;7;2;5;0,115513;0,049367;0,814086;0,000000;0,086377;0,049367;36069,00
10;7;2;5;0,105474;0,050354;0,814086;0,000000;0,078875;0,050354;36069,00
3;7;2;6;0,151307;0,048884;0,814086;0,000000;0,097886;0,048884;36069,00
4;7;2;6;0,142450;0,066343;0,814086;0,000000;0,092912;0,066343;36069,00
5;7;2;6;0,143631;0,073022;0,814086;0,000000;0,100768;0,073022;36069,00
9;7;2;6;0,175632;0,064705;0,814086;0,000000;0,122182;0,064705;36069,00
8;7;2;6;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;6;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;6;0,165219;0,038999;0,814086;0,000000;0,116902;0,038999;36069,00
6;7;2;6;0,111825;0,048247;0,814086;0,000000;0,077762;0,048247;36069,00
2;7;2;6;0,115513;0,049367;0,814086;0,000000;0,080323;0,049367;36069,00
10;7;2;6;0,105474;0,050354;0,814086;0,000000;0,073348;0,050354;36069,00
5;7;2;7;0,143631;0,073022;0,814086;0,000000;0,098823;0,073022;36069,00
9;7;2;7;0,175632;0,064705;0,814086;0,000000;0,113629;0,064705;36069,00
8;7;2;7;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;7;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;7;0,165219;0,038999;0,814086;0,000000;0,108709;0,038999;36069,00
6;7;2;7;0,111825;0,048247;0,814086;0,000000;0,072313;0,048247;36069,00
2;7;2;7;0,115513;0,049367;0,814086;0,000000;0,074693;0,049367;36069,00
10;7;2;7;0,105474;0,050354;0,814086;0,000000;0,068209;0,050354;36069,00
3;7;2;8;0,151307;0,048884;0,814086;0,000000;0,091033;0,048884;36069,00
4;7;2;8;0,142450;0,066343;0,814086;0,000000;0,086405;0,066343;36069,00
5;7;2;8;0,143631;0,073022;0,814086;0,000000;0,091899;0,073022;36069,00
9;7;2;8;0,175632;0,064705;0,814086;0,000000;0,105674;0,064705;36069,00
8;7;2;8;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;8;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;8;0,165219;0,038999;0,814086;0,000000;0,101091;0,038999;36069,00
6;7;2;8;0,111825;0,048247;0,814086;0,000000;0,067245;0,048247;36069,00
2;7;2;8;0,115513;0,049367;0,814086;0,000000;0,069458;0,049367;36069,00
10;7;2;8;0,105474;0,050354;0,814086;0,000000;0,063429;0,050354;36069,00
3;7;2;9;0,151307;0,048884;0,814086;0,000000;0,078732;0,048884;36069,00
4;7;2;9;0,142450;0,066343;0,814086;0,000000;0,074727;0,066343;36069,00
5;7;2;9;0,143631;0,073022;0,814086;0,000000;0,088585;0,073022;36069,00
9;7;2;9;0,175632;0,064705;0,814086;0,000000;0,102799;0,064705;36069,00
8;7;2;9;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;9;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;9;0,165219;0,038999;0,814086;0,000000;0,103881;0,038999;36069,00
6;7;2;9;0,111825;0,048247;0,814086;0,000000;0,063801;0,048247;36069,00
2;7;2;9;0,115513;0,049367;0,814086;0,000000;0,072083;0,049367;36069,00
10;7;2;9;0,105474;0,050354;0,814086;0,000000;0,060862;0,050354;36069,00
5;7;2;10;0,143631;0,073022;0,814086;0,000000;0,082379;0,073022;36069,00
9;7;2;10;0,175632;0,064705;0,814086;0,000000;0,101693;0,064705;36069,00
8;7;2;10;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;10;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;10;0,165219;0,038999;0,814086;0,000000;0,096643;0,038999;36069,00
6;7;2;10;0,111825;0,048247;0,814086;0,000000;0,063499;0,048247;36069,00
2;7;2;10;0,115513;0,049367;0,814086;0,000000;0,067030;0,049367;36069,00
10;7;2;10;0,105474;0,050354;0,814086;0,000000;0,060862;0,050354;36069,00
3;7;2;11;0,151307;0,048884;0,814086;0,000000;0,066274;0,048884;36069,00
4;7;2;11;0,142450;0,066343;0,814086;0,000000;0,067145;0,066343;36069,00
5;7;2;11;0,143631;0,073022;0,814086;0,000000;0,083291;0,073022;36069,00
9;7;2;11;0,175632;0,064705;0,814086;0,000000;0,107462;0,064705;36069,00
8;7;2;11;0,174582;0,074002;0,814086;0,000000;0,143309;0,074002;36069,00
7;7;2;11;0,148424;0,043384;0,814086;0,000000;0,086380;0,043384;36069,00
1;7;2;11;0,165219;0,038999;0,814086;0,000000;0,086794;0,038999;36069,00
6;7;2;11;0,111825;0,048247;0,814086;0,000000;0,058737;0,048247;36069,00
2;7;2;11;0,115513;0,049367;0,814086;0,000000;0,056521;0,049367;36069,00
10;7;2;11;0,105474;0,050354;0,814086;0,000000;0,060862;0,050354;36069,00
3;7;3;0;0,224617;0,034136;1,408413;0,000000;0,208891;0,034136;35997,00
5;7;3;0;0,163018;0,007782;1,408413;0,000000;0,163018;0,007782;35997,00
8;7;3;0;0,234053;0,098995;1,408413;0,000000;0,234053;0,098995;35997,00
9;7;3;0;0,216057;0,078125;1,408413;0,000000;0,216057;0,078125;35997,00
7;7;3;0;0,223743;0,012948;1,408413;0,000000;0,167360;0,012948;35997,00
6;7;3;0;0,210781;0,068672;1,408413;0,000000;0,210781;0,068672;35997,00
2;7;3;0;0,213715;0,086857;1,408413;0,000000;0,213715;0,086857;35997,00
10;7;3;0;0,179518;0,071056;1,408413;0,000000;0,179518;0,071056;35997,00
3;7;3;1;0,224617;0,034136;1,408413;0,000000;0,194266;0,034136;35997,00
4;7;3;1;0,183551;0,038849;1,408413;0,000000;0,158743;0,038849;35997,00
5;7;3;1;0,163018;0,007782;1,408413;0,000000;0,151597;0,007782;35997,00
9;7;3;1;0,216057;0,078125;1,408413;0,000000;0,200932;0,078125;35997,00
8;7;3;1;0,234053;0,098995;1,408413;0,000000;0,217662;0,098995;35997,00
7;7;3;1;0,223743;0,012948;1,408413;0,000000;0,167360;0,012948;35997,00
1;7;3;1;0,227222;0,077598;1,408413;0,000000;0,196490;0,077598;35997,00
6;7;3;1;0,210781;0,068672;1,408413;0,000000;0,196009;0,068672;35997,00
2;7;3;1;0,213715;0,086857;1,408413;0,000000;0,198737;0,086857;35997,00
10;7;3;1;0,179518;0,071056;1,408413;0,000000;0,166938;0,071056;35997,00
3;7;3;2;0,224617;0,034136;1,408413;0,000000;0,180665;0,034136;35997,00
5;7;3;2;0,163018;0,007782;1,408413;0,000000;0,140976;0,007782;35997,00
4;7;3;2;0,183551;0,038849;1,408413;0,000000;0,147626;0,038849;35997,00
9;7;3;2;0,216057;0,078125;1,408413;0,000000;0,186866;0,078125;35997,00
8;7;3;2;0,234053;0,098995;1,408413;0,000000;0,202419;0,098995;35997,00
7;7;3;2;0,223743;0,012948;1,408413;0,000000;0,167360;0,012948;35997,00
1;7;3;2;0,227222;0,077598;1,408413;0,000000;0,182719;0,077598;35997,00
6;7;3;2;0,210781;0,068672;1,408413;0,000000;0,182273;0,068672;35997,00
2;7;3;2;0,213715;0,086857;1,408413;0,000000;0,184808;0,086857;35997,00
10;7;3;2;0,179518;0,071056;1,408413;0,000000;0,155241;0,071056;35997,00
5;7;3;3;0,163018;0,007782;1,408413;0,000000;0,131099;0,007782;35997,00
