Period,EnergyAmount
2019-01-02 00:00:00,677.1964593419096
2019-01-02 00:15:00,689.2932290279347
2019-01-02 00:30:00,701.3899987139599
2019-01-02 00:45:00,713.4867683999851
2019-01-02 01:00:00,725.5835380860101
2019-01-02 01:15:00,735.7136549337032
2019-01-02 01:30:00,745.8437717813963
2019-01-02 01:45:00,755.9738886290893
2019-01-02 02:00:00,766.1040054767825
2019-01-02 02:15:00,769.8703308585975
2019-01-02 02:30:00,773.6366562404128
2019-01-02 02:45:00,777.402981622228
2019-01-02 03:00:00,781.1693070040432
2019-01-02 03:15:00,791.8003639818676
2019-01-02 03:30:00,802.431420959692
2019-01-02 03:45:00,813.0624779375164
2019-01-02 04:00:00,823.6935349153408
2019-01-02 04:15:00,829.8903463378415
2019-01-02 04:30:00,836.0871577603424
2019-01-02 04:45:00,842.2839691828431
2019-01-02 05:00:00,848.480780605344
2019-01-02 05:15:00,916.5343862239342
2019-01-02 05:30:00,984.5879918425244
2019-01-02 05:45:00,1052.6415974611148
2019-01-02 06:00:00,1120.6952030797052
2019-01-02 06:15:00,1118.5244637731614
2019-01-02 06:30:00,1116.3537244666184
2019-01-02 06:45:00,1114.1829851600748
2019-01-02 07:00:00,1112.0122458535313
2019-01-02 07:15:00,1042.9196538013161
2019-01-02 07:30:00,973.8270617491007
2019-01-02 07:45:00,904.7344696968853
2019-01-02 08:00:00,835.6418776446701
2019-01-02 08:15:00,797.032402826299
2019-01-02 08:30:00,758.4229280079279
2019-01-02 08:45:00,719.8134531895568
2019-01-02 09:00:00,681.2039783711857
2019-01-02 09:15:00,658.9214318230084
2019-01-02 09:30:00,636.6388852748314
2019-01-02 09:45:00,614.356338726654
2019-01-02 10:00:00,592.0737921784768
2019-01-02 10:15:00,593.1869917132422
2019-01-02 10:30:00,594.3001912480074
2019-01-02 10:45:00,595.4133907827727
2019-01-02 11:00:00,596.5265903175381
2019-01-02 11:15:00,615.6736244781589
2019-01-02 11:30:00,634.8206586387797
2019-01-02 11:45:00,653.9676927994005
2019-01-02 12:00:00,673.1147269600214
2019-01-02 12:15:00,656.1569854440969
2019-01-02 12:30:00,639.1992439281726
2019-01-02 12:45:00,622.2415024122481
2019-01-02 13:00:00,605.2837608963237
2019-01-02 13:15:00,602.3523352284503
2019-01-02 13:30:00,599.420909560577
2019-01-02 13:45:00,596.4894838927038
2019-01-02 14:00:00,593.5580582248306
2019-01-02 14:15:00,602.7976153441226
2019-01-02 14:30:00,612.0371724634147
2019-01-02 14:45:00,621.2767295827068
2019-01-02 15:00:00,630.5162867019989
2019-01-02 15:15:00,659.6450112565605
2019-01-02 15:30:00,688.7737358111222
2019-01-02 15:45:00,717.9024603656839
2019-01-02 16:00:00,747.0311849202454
2019-01-02 16:15:00,827.7938201324386
2019-01-02 16:30:00,908.5564553446314
2019-01-02 16:45:00,989.3190905568246
2019-01-02 17:00:00,1070.0817257690176
2019-01-02 17:15:00,1087.7630469699657
2019-01-02 17:30:00,1105.4443681709142
2019-01-02 17:45:00,1123.1256893718623
2019-01-02 18:00:00,1140.8070105728104
2019-01-02 18:15:00,1133.9793859045792
2019-01-02 18:30:00,1127.151761236348
2019-01-02 18:45:00,1120.3241365681165
2019-01-02 19:00:00,1113.4965118998853
2019-01-02 19:15:00,1105.0918544945353
2019-01-02 19:30:00,1096.6871970891848
2019-01-02 19:45:00,1088.2825396838346
2019-01-02 20:00:00,1079.8778822784845
2019-01-02 20:15:00,1062.883034337726
2019-01-02 20:30:00,1045.888186396967
2019-01-02 20:45:00,1028.8933384562085
2019-01-02 21:00:00,1011.8984905154498
2019-01-02 21:15:00,991.9722164038743
2019-01-02 21:30:00,972.045942292299
2019-01-02 21:45:00,952.1196681807232
2019-01-02 22:00:00,932.1933940691478
2019-01-02 22:15:00,900.8568237832085
2019-01-02 22:30:00,869.5202534972692
2019-01-02 22:45:00,838.18368321133
2019-01-02 23:00:00,806.8471129253908
